Date,Close,High,Low,Open,Volume
2024-04-05,39.75,40.25,39.5,39.75,9474000
2024-04-09,40.5,40.5,39.25,39.75,9589200
2024-04-10,40.75,41.25,40.5,40.75,8362200
2024-04-11,40.5,41.0,40.0,40.75,4623400
2024-04-17,40.5,40.5,40.5,40.5,0
2024-04-18,40.5,40.5,40.5,40.5,0
2024-04-19,40.5,40.5,40.5,40.5,0
2024-04-22,37.75,39.0,37.75,39.0,16551400
2024-04-23,38.25,38.5,37.75,37.75,12626500
2024-04-24,38.25,38.25,38.25,38.25,0
2024-04-25,37.0,37.75,36.5,37.5,18915200
2024-04-26,37.0,37.25,36.75,37.25,5317000
2024-04-29,37.25,37.25,36.5,37.25,5856300
2024-04-30,36.75,37.25,36.5,37.25,8057000
2024-05-02,35.75,36.75,35.5,36.5,16445700
2024-05-03,35.75,35.75,35.0,35.75,11556500
2024-05-07,36.0,36.25,35.5,36.0,7584300
2024-05-08,36.25,36.75,36.0,36.25,7016200
2024-05-09,35.75,36.5,35.5,36.25,6476600
2024-05-10,35.75,36.0,35.25,35.75,7052000
2024-05-13,36.25,36.5,35.5,35.75,5899200
2024-05-14,36.5,36.75,36.0,36.25,8697500
2024-05-15,36.25,36.75,36.0,36.75,6381900
2024-05-16,36.25,36.25,36.25,36.25,0
2024-05-17,37.75,37.75,36.25,36.25,23012400
2024-05-20,37.75,37.75,37.75,37.75,0
2024-05-21,37.0,37.75,37.0,37.75,11336300
2024-05-23,37.0,37.5,36.75,36.75,6408100
2024-05-24,37.0,37.0,37.0,37.0,0
2024-05-27,37.0,37.0,37.0,37.0,0
2024-05-28,36.5,37.25,36.0,37.25,24113700
2024-05-29,35.25,36.0,35.25,36.0,15070000
2024-05-30,35.25,35.25,35.25,35.25,0
2024-05-31,35.25,35.25,35.25,35.25,0
2024-06-04,34.75,35.25,34.25,35.0,6179800
2024-06-05,34.0,35.0,34.0,34.75,9319200
2024-06-06,33.75,34.5,33.5,34.25,8796400
2024-06-07,32.75,33.75,32.5,33.75,21023100
2024-06-10,32.25,32.75,32.0,32.5,9739700
2024-06-11,32.5,33.0,32.0,32.5,14644500
2024-06-12,32.0,32.5,31.75,32.5,9996300
2024-06-13,31.5,32.5,31.25,32.25,12079000
2024-06-14,30.5,31.5,30.5,31.25,24888000
2024-06-17,30.5,30.75,30.0,30.5,5354500
2024-06-18,30.5,30.5,30.5,30.5,0
2024-06-19,30.5,30.5,30.5,30.5,0
2024-06-20,29.5,30.25,29.25,29.75,18731300
2024-06-21,30.75,31.25,29.0,29.5,52447600
2024-06-24,30.75,30.75,30.75,30.75,0
2024-06-25,30.75,30.75,30.75,30.75,0
2024-06-26,30.75,30.75,30.75,30.75,0
2024-06-27,30.5,31.25,30.5,31.25,8046300
2024-06-28,30.5,30.75,30.0,30.75,12095200
2024-07-01,31.0,31.25,30.5,30.75,6453400
2024-07-02,30.5,31.0,30.0,30.75,7869900
2024-07-03,30.0,30.5,29.75,30.25,5100600
2024-07-04,30.25,30.75,30.25,30.5,5438400
2024-07-05,30.75,30.75,30.0,30.25,3871900
2024-07-08,31.25,31.5,30.5,30.5,6815100
2024-07-09,31.25,31.25,31.25,31.25,0
2024-07-10,31.0,31.5,30.75,31.25,6047300
2024-07-11,31.0,31.5,30.5,31.25,10086600
2024-07-12,31.0,31.0,31.0,31.0,0
2024-07-15,31.0,31.0,31.0,31.0,0
2024-07-16,29.0,30.25,28.75,29.5,24167700
2024-07-17,29.0,29.0,29.0,29.0,0
