Date,Close,High,Low,Open,Volume
2024-04-02,43.25,44.25,43.25,43.75,12905500
2024-04-03,42.75,43.5,42.75,43.25,11612100
2024-04-04,43.25,43.25,42.5,42.75,7307500
2024-04-05,43.0,43.25,42.75,43.25,7007900
2024-04-09,44.25,44.25,43.0,43.25,11436200
2024-04-10,44.0,44.25,43.5,44.25,9259000
2024-04-11,43.5,43.75,43.25,43.75,8393100
2024-04-17,43.5,43.5,43.5,43.5,0
2024-04-18,43.5,43.5,43.5,43.5,0
2024-04-19,39.5,40.0,38.75,39.0,27009600
2024-04-22,41.0,41.5,40.0,40.25,18549800
2024-04-23,41.25,41.5,41.0,41.25,7201300
2024-04-24,41.25,41.25,41.25,41.25,0
2024-04-25,41.25,41.25,40.25,41.0,8494800
2024-04-26,40.0,41.25,39.75,41.0,27808600
2024-04-29,40.0,40.5,39.75,40.5,10652300
2024-04-30,40.25,40.75,40.0,40.0,13480100
2024-05-02,40.25,40.25,40.25,40.25,0
2024-05-03,41.25,42.0,41.25,41.5,12418600
2024-05-07,41.25,41.25,41.25,41.25,0
2024-05-08,41.75,42.25,41.5,41.5,7536200
2024-05-09,41.5,42.0,41.25,41.75,6886300
2024-05-10,41.5,41.5,40.75,41.25,5427200
2024-05-13,41.0,41.5,40.5,41.5,8643600
2024-05-14,41.25,41.25,40.5,40.75,5440500
2024-05-15,41.25,41.25,40.5,41.25,5681400
2024-05-16,41.25,41.25,41.25,41.25,0
2024-05-17,42.0,42.25,41.75,42.0,5993500
2024-05-20,42.0,42.0,42.0,42.0,0
2024-05-21,41.25,42.0,40.75,42.0,12266500
2024-05-23,41.25,41.25,40.75,41.0,7862500
2024-05-24,40.75,41.0,40.5,40.5,3280000
2024-05-27,40.75,40.75,40.75,40.75,0
2024-05-28,41.75,42.25,41.25,41.5,14259400
2024-05-29,41.0,41.75,40.75,41.5,8432400
2024-05-30,40.75,41.0,40.0,40.5,11809100
2024-05-31,40.5,41.0,40.25,40.75,11307500
2024-06-04,39.75,41.0,39.75,41.0,10727400
2024-06-05,40.0,40.25,39.5,39.75,7756000
2024-06-06,39.75,40.25,39.5,40.0,5629500
2024-06-07,40.25,40.25,39.5,39.5,8144400
2024-06-10,40.0,40.5,39.0,40.0,17806200
2024-06-11,40.5,41.0,39.75,40.0,15080400
2024-06-12,40.25,41.0,39.75,40.5,9602500
2024-06-13,40.25,40.5,39.75,40.5,7122400
2024-06-14,39.0,39.75,38.25,39.75,34639500
2024-06-17,39.0,39.75,38.5,39.0,22858800
2024-06-18,39.0,39.0,39.0,39.0,0
2024-06-19,39.0,39.0,39.0,39.0,0
2024-06-20,39.0,39.25,38.5,38.75,10471500
2024-06-21,40.25,40.75,38.5,38.75,31564300
2024-06-24,40.25,40.25,40.25,40.25,0
2024-06-25,40.0,40.5,39.75,40.0,13961800
2024-06-26,40.0,40.0,40.0,40.0,0
2024-06-27,40.75,41.0,40.25,41.0,12790800
2024-06-28,40.5,41.0,40.25,40.75,16231300
2024-07-01,40.25,41.0,40.0,40.25,9712000
2024-07-02,39.75,40.25,39.5,40.0,8100800
2024-07-03,40.25,40.5,39.75,39.75,7619000
2024-07-04,40.5,41.25,40.5,40.75,10210600
2024-07-05,40.5,40.75,40.25,40.25,5870700
2024-07-08,41.0,41.0,40.5,40.5,5451800
2024-07-09,40.5,41.25,40.5,41.0,10601200
2024-07-10,41.25,41.5,40.5,40.5,11516300
2024-07-11,41.75,42.0,41.0,41.5,15264100
2024-07-12,42.25,42.5,41.75,42.0,30225900
2024-07-15,42.25,42.25,42.25,42.25,0
2024-07-16,42.25,42.75,42.0,42.75,12449000
2024-07-17,45.0,45.0,43.0,44.0,92128100
2024-07-18,44.75,44.75,44.0,44.5,49534300
2024-07-19,45.5,45.75,44.25,44.75,55805300
2024-07-23,45.25,46.25,45.0,45.75,21832800
2024-07-24,45.25,45.25,44.75,45.0,13899000
2024-07-25,45.0,45.5,44.75,45.0,17769700
2024-07-26,47.25,47.25,45.0,45.25,71576700
2024-07-30,47.25,47.25,47.25,47.25,0
2024-07-31,47.75,48.75,47.5,48.25,25078000
2024-08-01,47.75,48.25,47.5,47.5,25346900
