Date,Close,High,Low,Open,Volume
2024-06-12,53.25,55.0,53.25,54.25,1329105
2024-06-13,52.5,53.75,51.25,52.75,2866672
2024-06-14,56.0,57.25,52.5,52.75,3842990
2024-06-17,56.75,56.75,55.0,56.0,1492151
2024-06-18,55.5,57.25,55.25,56.5,1706480
2024-06-19,57.25,57.25,55.0,56.0,1639578
2024-06-20,57.5,59.0,56.5,56.75,3789162
2024-06-21,58.0,58.5,57.0,57.25,1241476
2024-06-24,59.75,59.75,58.25,58.25,1694569
2024-06-25,58.5,60.5,58.0,59.75,2602122
2024-06-26,58.0,59.25,56.75,58.5,1654685
2024-06-27,58.0,59.25,57.75,58.0,1069479
2024-06-28,57.75,58.25,56.75,58.25,928762
2024-07-01,55.25,58.0,55.25,57.75,1442525
2024-07-02,55.5,58.5,55.25,56.0,1906676
2024-07-03,57.5,58.0,55.5,55.5,1690430
2024-07-04,56.75,58.0,56.25,57.75,975084
2024-07-05,57.25,58.0,56.75,57.0,689724
2024-07-08,58.25,59.0,56.25,57.25,3400414
2024-07-09,55.5,58.25,55.25,58.25,3345054
2024-07-10,56.0,56.75,54.75,55.75,2003326
2024-07-11,56.0,56.75,54.75,56.0,1366418
2024-07-12,55.5,56.75,55.5,56.0,541208
2024-07-15,56.0,56.5,55.0,55.5,1292666
2024-07-16,53.25,55.75,53.0,55.75,2961065
2024-07-17,52.75,54.75,52.75,54.0,2034791
2024-07-18,52.5,53.5,51.25,51.75,2427782
2024-07-19,51.75,52.75,51.75,52.0,1256211
2024-07-23,49.0,52.5,48.25,52.0,4630205
2024-07-24,49.75,50.0,49.0,49.0,1180614
2024-07-25,49.25,50.25,49.0,49.5,1109011
2024-07-26,49.25,49.75,48.5,49.0,1161249
2024-07-30,50.5,51.0,49.0,49.5,1435690
2024-07-31,51.0,51.5,50.0,50.0,1779972
2024-08-01,49.75,51.5,49.75,51.25,1007712
2024-08-02,50.0,50.0,48.75,49.5,909312
2024-08-05,46.5,49.75,46.5,49.0,1952419
2024-08-06,48.5,49.5,47.5,47.75,1264008
2024-08-07,51.0,51.25,49.25,49.25,2009608
2024-08-08,49.5,50.75,49.25,50.75,1110059
2024-08-09,48.75,50.25,48.5,50.0,793804
2024-08-13,49.75,50.25,48.0,49.0,555501
2024-08-14,51.25,51.25,49.75,50.0,986665
2024-08-15,48.25,49.75,46.0,49.75,3444172
2024-08-16,47.0,49.5,45.75,48.5,2663902
2024-08-19,47.75,48.5,47.0,47.25,1570816
2024-08-20,46.0,48.75,46.0,48.0,2140305
2024-08-21,47.25,47.25,45.25,46.0,1908759
2024-08-22,46.25,47.25,46.25,47.25,806025
2024-08-23,47.5,47.75,46.25,46.5,861951
2024-08-26,49.75,49.75,47.25,47.75,1862576
2024-08-28,48.0,48.75,47.5,48.0,404623
2024-08-29,46.75,48.75,46.5,48.25,937461
2024-08-30,46.5,47.25,46.5,46.75,573149
2024-09-02,46.0,46.5,45.5,46.5,692367
2024-09-03,46.0,46.5,45.75,45.75,796028
2024-09-04,46.0,47.0,45.5,45.5,728402
2024-09-05,47.5,48.25,46.25,46.25,2117581
2024-09-06,45.75,48.25,45.5,48.0,2936155
2024-09-09,46.5,46.5,45.5,46.25,889911
2024-09-10,45.5,46.75,45.25,46.5,1454149
2024-09-11,44.0,45.75,43.5,45.75,1720680
2024-09-12,44.25,44.75,43.75,44.25,766931
2024-09-13,44.25,44.25,42.75,44.0,2683157
2024-09-16,44.5,45.75,44.0,44.25,1240347
2024-09-17,44.75,45.5,44.5,44.75,596937
2024-09-18,44.75,45.5,44.25,45.0,784634
2024-09-19,45.25,45.75,44.5,45.0,1207057
2024-09-20,46.0,46.0,45.0,45.5,1100120
2024-09-23,46.25,46.5,44.75,45.75,1418092
2024-09-24,45.75,46.75,45.0,46.75,681016
2024-09-25,46.25,46.5,45.0,45.75,1253548
2024-09-26,46.0,46.5,45.25,46.5,617130
2024-09-27,46.25,46.75,46.0,46.0,1321084
2024-09-30,46.25,47.75,45.5,46.25,1984581
2024-10-01,47.25,47.5,46.0,46.0,1248242
2024-10-02,46.0,47.5,45.75,47.0,1587738
2024-10-03,44.75,46.0,44.75,46.0,984050
2024-10-04,44.0,45.0,43.75,44.75,821304
2024-10-07,42.25,43.5,41.5,43.25,2615941
2024-10-08,42.5,42.5,40.75,41.75,2441933
2024-10-09,42.0,42.75,41.75,42.25,1280273
2024-10-10,42.0,42.75,42.0,42.0,430161
2024-10-11,41.25,42.25,41.25,42.25,643461
2024-10-15,40.5,41.75,40.5,41.25,1035103
2024-10-16,41.75,42.0,40.0,40.75,561618
2024-10-17,41.75,42.5,41.5,41.75,370603
2024-10-18,42.75,43.5,41.75,41.75,971161
2024-10-21,42.5,43.25,42.25,43.0,330610
2024-10-22,41.75,42.75,41.75,42.75,441645
2024-10-24,41.75,42.25,41.5,41.75,286424
2024-10-25,41.0,42.0,40.75,42.0,649287
2024-10-28,41.25,41.25,40.5,41.0,243251
2024-10-29,41.0,41.5,40.5,41.0,304945
2024-10-31,40.25,41.0,40.25,40.25,297363
2024-11-01,39.25,40.25,39.25,40.25,923758
2024-11-04,39.75,40.25,39.0,39.5,791907
2024-11-06,37.75,40.5,37.75,40.0,1480857
2024-11-07,37.75,38.5,37.5,38.0,757474
2024-11-08,37.75,38.25,37.5,37.75,290211
2024-11-11,36.5,37.75,35.75,37.75,1059819
2024-11-12,36.0,36.5,35.75,36.5,593310
2024-11-13,37.75,38.5,35.0,35.0,2157298
2024-11-14,37.0,37.75,36.5,37.25,666520
2024-11-15,36.25,37.5,36.0,37.5,358751
2024-11-18,35.0,35.75,34.75,35.75,971955
2024-11-19,35.25,36.0,34.75,35.25,641764
2024-11-20,35.5,35.75,34.25,35.25,463117
2024-11-21,34.5,35.75,34.0,35.75,587562
2024-11-22,36.0,36.75,35.0,35.25,1178783
2024-11-25,35.75,37.0,35.75,36.25,894674
2024-11-26,35.5,36.0,35.25,36.0,220243
2024-11-27,35.0,35.5,34.5,35.5,929069
2024-11-28,34.75,35.5,34.75,35.0,367502
2024-11-29,34.0,35.0,34.0,34.75,881733
2024-12-02,33.75,35.25,33.75,34.25,638110
2024-12-03,35.5,36.25,34.0,34.0,668750
2024-12-04,35.0,36.0,35.0,36.0,281323
2024-12-06,34.75,35.5,34.5,35.5,324743
2024-12-09,33.0,34.5,33.0,34.5,1191329
2024-12-11,32.25,33.5,32.25,33.25,522901
2024-12-12,31.5,32.5,31.0,32.5,862506
2024-12-13,31.25,31.75,30.75,31.5,495767
2024-12-16,31.5,31.5,30.25,31.5,549664
2024-12-17,30.75,32.25,30.75,31.5,354377
2024-12-18,30.75,31.25,30.5,30.75,193910
2024-12-19,30.75,32.0,30.5,30.75,458160
2024-12-20,31.5,31.75,31.0,31.0,343808
2024-12-23,32.0,32.5,31.5,32.0,386132
2024-12-24,32.25,32.25,31.75,32.0,97718
