Price,Close,High,Low,Open,Volume
Ticker,M.BK,M.BK,M.BK,M.BK,M.BK
Date,,,,,
2024-12-11,25.75,26.0,25.5,25.75,420000
2024-12-12,26.0,26.25,25.5,25.75,643500
2024-12-13,26.0,26.0,25.75,25.75,412900
2024-12-16,25.25,26.25,25.25,26.25,648900
2024-12-17,25.25,25.5,25.0,25.25,512000
2024-12-18,25.0,25.25,24.899999618530273,25.0,618500
2024-12-19,24.799999237060547,25.25,24.799999237060547,24.899999618530273,992600
2024-12-20,24.700000762939453,24.899999618530273,24.5,24.799999237060547,843200
2024-12-23,25.0,25.25,23.899999618530273,24.700000762939453,1767900
2024-12-24,24.899999618530273,25.25,24.899999618530273,25.0,111200
2024-12-25,24.899999618530273,25.25,24.799999237060547,24.899999618530273,183000
2024-12-26,24.700000762939453,24.799999237060547,24.399999618530273,24.799999237060547,297900
2024-12-27,25.25,25.5,24.799999237060547,25.0,931500
2024-12-30,24.600000381469727,25.25,24.600000381469727,25.25,496800
2025-01-02,24.100000381469727,24.899999618530273,24.0,24.899999618530273,641200
2025-01-03,23.299999237060547,24.200000762939453,23.100000381469727,24.0,1443800
2025-01-06,22.200000762939453,23.200000762939453,22.100000381469727,23.100000381469727,2306000
2025-01-07,22.200000762939453,22.5,22.0,22.200000762939453,919400
2025-01-08,22.0,22.399999618530273,21.799999237060547,22.299999237060547,1144100
2025-01-09,20.799999237060547,21.899999618530273,20.799999237060547,21.899999618530273,2716200
2025-01-10,20.799999237060547,21.0,20.600000381469727,20.799999237060547,2236600
2025-01-13,20.5,21.0,20.399999618530273,20.799999237060547,1350600
2025-01-14,20.0,20.600000381469727,19.899999618530273,20.5,2658600
2025-01-15,20.0,20.200000762939453,19.5,20.100000381469727,2809400
2025-01-16,20.200000762939453,20.299999237060547,19.700000762939453,20.100000381469727,1296800
2025-01-17,20.0,20.299999237060547,19.899999618530273,20.200000762939453,1485800
2025-01-20,19.100000381469727,20.100000381469727,18.899999618530273,19.899999618530273,2677700
2025-01-21,19.700000762939453,19.700000762939453,19.100000381469727,19.200000762939453,2220800
2025-01-22,18.899999618530273,19.700000762939453,18.899999618530273,19.600000381469727,2953400
2025-01-23,18.299999237060547,18.899999618530273,18.200000762939453,18.799999237060547,3916100
2025-01-24,18.600000381469727,18.700000762939453,18.200000762939453,18.200000762939453,2576300
2025-01-27,18.5,18.799999237060547,18.200000762939453,18.5,2366200
2025-01-28,18.700000762939453,18.799999237060547,18.5,18.5,2059700
2025-01-29,18.100000381469727,18.799999237060547,18.0,18.5,2895700
2025-01-30,18.100000381469727,18.299999237060547,18.100000381469727,18.100000381469727,1649300
2025-01-31,17.600000381469727,18.299999237060547,17.600000381469727,18.100000381469727,3099800
2025-02-03,17.399999618530273,17.600000381469727,17.0,17.5,2943300
2025-02-04,17.200000762939453,17.799999237060547,17.100000381469727,17.5,2176700
2025-02-05,17.5,18.100000381469727,17.299999237060547,17.299999237060547,2323600
2025-02-06,17.0,17.799999237060547,17.0,17.700000762939453,3101400
2025-02-07,17.5,17.600000381469727,16.700000762939453,17.0,4194800
